"id","title","original_title","overview","language_name","release_date","release_year","decade","popularity","vote_average","vote_count","runtime","runtime_category","primary_genre","genre_string","keywords_str","poster_url","is_hidden_gem"
"49074","Baasha","பாட்ஷா","Auto rickshaw driver Manickam avoids violence at all costs. When some thugs begin to intimidate Manickam's family, it triggers the revival of Manickam's old self.","Tamil","1995-01-12","1995","1990","0.4445","7.609","69","145","Long","Action","Action","gangster, flashback, archvillain","https://image.tmdb.org/t/p/w500/xPSw9PLzYFKTVphw9ErZcBPKUsd.jpg","False"
"270766","Jigarthanda","ஜிகர்தண்டா","A budding director endeavors to research a merciless gangster for making a film on gangsterism. But his secret attempts to conduct the research fail when he gets caught for snooping.","Tamil","2014-08-01","2014","2010","0.7703","7.493","70","170","Very Long","Music","Music, Crime, Comedy, Thriller","gangster, dark comedy, filmmaking, aspiring actor, aspiring artist, aspiring director, film within a film","https://image.tmdb.org/t/p/w500/oDcQE70RYc78iBYgHRknl64QKTu.jpg","False"
"579974","RRR","రౌద్రం రణం రుధిరం","A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.","Telugu","2022-03-24","2022","2020","7.0159","7.714","1573","187","Very Long","Action","Action, Adventure, Drama","rescue, revolution, liberation, slavery, male friendship, freedom fighter, british empire, interracial romance, historical fiction, period drama, historical, 1920s, history of india, killed in action, war, amused","https://image.tmdb.org/t/p/w500/u0XUBNQWlOvrh0Gd97ARGpIkL0.jpg","True"
"256040","Bāhubali: The Beginning","బాహుబలి:ద బిగినింగ్","The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.","Telugu","2015-07-10","2015","2010","3.9952","7.52","917","159","Very Long","Action","Action, Drama","kingdom, medieval india, ancient india, bilingual","https://image.tmdb.org/t/p/w500/9BAjt8nSSms62uOVYn1t3C3dVto.jpg","True"
"811941","Devara: Part 1","Devara: Part 1","Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.","Telugu","2024-09-26","2024","2020","4.5167","6.893","214","175","Very Long","Action","Action, Drama","sea, ship, red sea, boat, fear, battle, unassuming, swords, ships, violence, boats","https://image.tmdb.org/t/p/w500/lQfuaXjANoTsdx5iS0gCXlK9D2L.jpg","False"
"801688","Kalki 2898-AD","కల్కి 2898-ఎ.డి","In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.","Telugu","2024-06-26","2024","2020","3.5504","6.422","172","176","Very Long","Drama","Drama, Action, Fantasy, Science Fiction","rebellion, hero, temple, dystopia, villain, desert, religious statue, futuristic society, quest, imperialism, ancient temple, indian folklore, evil empire, fantasy, indian gods, mahabharat","https://image.tmdb.org/t/p/w500/rstcAnBeCkxNQjNp3YXrF6IP1tW.jpg","False"
"770906","Salaar: Part 1 - Ceasefire","సలార్: పార్ట్‌ 1 – సీజ్‌ఫైర్‌","Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.","Telugu","2023-12-21","2023","2020","3.7019","6.653","111","175","Very Long","Action","Action, Crime, Drama","drama, action, salaar","https://image.tmdb.org/t/p/w500/nlu9WbcetNFRGXXPWITr30ob7W6.jpg","False"
"1068452","Hi Nanna","హాయ్ నాన్న","Six-year-old Mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, Viraj, a dedicated single parent and successful fashion photographer. Her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, Pluto. A chance encounter with a kind woman named Yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. Set against a backdrop of love, sacrifice, and redemption, Mahi’s story is a heartfelt exploration of family, resilience, and the enduring power of connection.","Telugu","2023-12-07","2023","2020","3.3378","7.8","63","155","Very Long","Drama","Drama, Family, Romance","","https://image.tmdb.org/t/p/w500/hhMLtq9m1aK0dpY9Wcq26XeDH2z.jpg","False"
"350312","Bāhubali 2: The Conclusion","బాహుబలి 2: ది కన్ క్లూజన్","When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.","Telugu","2017-04-27","2017","2010","2.8588","7.446","841","167","Very Long","Action","Action, Adventure, Fantasy","kingdom, bilingual","https://image.tmdb.org/t/p/w500/21sC2assImQIYCEDA84Qh9d1RsK.jpg","False"
"857598","Pushpa 2 - The Rule","పుష్పా 2 - The Rule","As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.","Telugu","2024-12-04","2024","2020","2.913","6.296","137","201","Very Long","Action","Action, Drama, Thriller, Crime","sequel, ego clash","https://image.tmdb.org/t/p/w500/bhxZj3y59cK7JtGdV285dhDRaMe.jpg","False"
"690957","Pushpa: The Rise","పుష్పా - The Rise","As Pushpa, a labourer, rises in the world of red sandalwood smuggling, he ends up making many enemies. However, violence ensues when the police try to topple his illegal business.","Telugu","2021-12-16","2021","2020","2.4891","6.785","181","179","Very Long","Action","Action, Drama, Thriller","rags to riches, smugglers, sandalwood, egotistical, authoritarian","https://image.tmdb.org/t/p/w500/oaRk2HgOirEeNuDCwwScmq7rKvS.jpg","False"
